company_name,ratings,rating_count,highly_rated,critical_rated,location,salaries,interviews,jobs,benefits
Kaddacon Systems,4.6,383,"Company Culture, Work Life Balance, Work Satisfaction",NaN,IT Services & Consulting | Pune +8 other locations,NaN,NaN,NaN,NaN
Glaze Trading India,4.3,383,"Company Culture, Skill Development, Work Life Balance",NaN,Retail | New Delhi +88 other locations,NaN,NaN,NaN,NaN
Glaze Trading India,4.3,383,"Company Culture, Skill Development, Work Life Balance",NaN,Retail | New Delhi +88 other locations,NaN,NaN,NaN,NaN
Srei Equipment Finance,4.2,383,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,Financial Services | Kolkata +79 other locations,NaN,NaN,NaN,NaN
Krishna Group,3.9,383,"Work Life Balance, Company Culture, Job Security",Promotions,Auto Components | Gurugram +34 other locations,NaN,NaN,NaN,NaN
Milkbasket,3.8,383,NaN,"Promotions, Job Security",Internet | Gurugram +24 other locations,NaN,NaN,NaN,NaN
Centre For Sight,3.8,383,Work Life Balance,"Promotions, Salary",Healthcare | New Delhi +39 other locations,NaN,NaN,NaN,NaN
Rail Vikas Nigam,3.5,383,NaN,"Job Security, Promotions, Company Culture",FMCG | New Delhi +79 other locations,NaN,NaN,NaN,NaN
AQuity Solutions India,3.7,383,NaN,"Promotions, Work Satisfaction, Salary",IT Services & Consulting | Hyderabad +21 other locations,NaN,NaN,NaN,NaN
The Hershey Company,4.0,383,"Company Culture, Work Life Balance, Job Security",Promotions,Food Processing | Mumbai +65 other locations,NaN,NaN,NaN,NaN
RNFI Services,3.2,383,NaN,"Job Security, Company Culture, Work Satisfaction",FinTech | New Delhi +108 other locations,NaN,NaN,NaN,NaN
Bliss Gvs Pharma,4.1,383,"Company Culture, Work Life Balance, Job Security",NaN,Pharma | Mumbai +15 other locations,NaN,NaN,NaN,NaN
Kirloskar Toyota Textile Machinery,4.5,382,"Company Culture, Work Life Balance, Salary",NaN,Industrial Machinery | Bengaluru +11 other locations,NaN,NaN,NaN,NaN
Leixir Dental Group,4.5,383,"Job Security, Work Life Balance, Work Satisfaction",NaN,Healthcare | Gurugram +2 other locations,NaN,NaN,NaN,NaN
Indifi Technologies,3.7,382,Company Culture,"Promotions, Job Security",FinTech | Gurugram +15 other locations,NaN,NaN,NaN,NaN
Omnicom Global Solutions,3.3,382,NaN,"Promotions, Job Security, Skill Development",Marketing & Advertising | Bengaluru +12 other locations,NaN,NaN,NaN,NaN
Brick&Bolt,3.3,382,NaN,"Job Security, Work Life Balance, Work Satisfaction",Engineering & Construction | Bengaluru +9 other locations,NaN,NaN,NaN,NaN
VXI Global Solutions,3.3,382,NaN,"Promotions, Job Security, Work Satisfaction",BPO | Hyderabad +5 other locations,NaN,NaN,NaN,NaN
MCM Telecom Equipment,3.9,381,"Skill Development, Work Satisfaction, Job Security",Promotions,Electronics Manufacturing | Noida +7 other locations,NaN,NaN,NaN,NaN
Ultra Corpotech,3.9,381,Skill Development,Promotions,Industrial Machinery | Pune +6 other locations,NaN,NaN,NaN,NaN
Paragon Footwear,4.0,382,"Job Security, Company Culture, Work Life Balance","Promotions, Salary",Fashion & Textile | Bengaluru +65 other locations,NaN,NaN,NaN,NaN
Lumino Industries,3.8,381,Salary,Promotions,Electrical Equipment | Kolkata +54 other locations,NaN,NaN,NaN,NaN
Lumino Industries,3.8,381,Salary,Promotions,Electrical Equipment | Kolkata +54 other locations,NaN,NaN,NaN,NaN
Labournet Services,4.0,381,"Work Life Balance, Skill Development","Job Security, Promotions",Non-Profit | Bengaluru +59 other locations,NaN,NaN,NaN,NaN
Dimension Data,4.5,380,"Work Life Balance, Company Culture, Work Satisfaction",NaN,IT Services & Consulting | Bengaluru +54 other locations,NaN,NaN,NaN,NaN
Computacenter,3.9,381,"Company Culture, Work Life Balance, Job Security",Promotions,IT Services & Consulting | Bengaluru +12 other locations,NaN,NaN,NaN,NaN
Tega Industries,3.6,380,Job Security,"Promotions, Salary, Company Culture",Industrial Machinery | Kolkata +20 other locations,NaN,NaN,NaN,NaN
Sharda University,3.7,380,NaN,"Promotions, Salary",Education & Training | Greater Noida +15 other locations,NaN,NaN,NaN,NaN
K L University,3.9,380,"Job Security, Salary",Promotions,Education & Training | Vijayawada +19 other locations,NaN,NaN,NaN,NaN
Motherson Technology Services,3.3,380,Job Security,"Promotions, Company Culture, Skill Development",IT Services & Consulting | Noida +12 other locations,NaN,NaN,NaN,NaN
Foundit,3.2,379,NaN,"Promotions, Job Security, Work Satisfaction",Hyderabad +15 other locations,NaN,NaN,NaN,NaN
SRMB SRIJAN,3.5,379,NaN,"Promotions, Company Culture, Work Satisfaction",Iron & Steel | Kolkata +48 other locations,NaN,NaN,NaN,NaN
Yellow Diamond,4.0,379,"Work Life Balance, Company Culture",Promotions,FMCG | Indore +90 other locations,NaN,NaN,NaN,NaN
Concord Biotech,3.8,379,"Job Security, Work Life Balance",Promotions,Pharma | Ahmedabad +23 other locations,NaN,NaN,NaN,NaN
SiliconIndia,2.7,378,NaN,"Job Security, Promotions, Company Culture",Printing & Publishing | Bengaluru +9 other locations,NaN,NaN,NaN,NaN
Capital Small Finance Bank,3.6,378,NaN,"Work Satisfaction, Skill Development, Promotions",Banking | Jalandhar +70 other locations,NaN,NaN,NaN,NaN
Pharmarack Technologies,3.5,379,NaN,"Promotions, Job Security, Company Culture",Pharma | Pune +70 other locations,NaN,NaN,NaN,NaN
